city,geo_key,geo_level,str_density,active_listings,entire_home_count,median_nightly_price,p25_price,p75_price,avg_occupancy,total_revenue,breach_count_90,breach_count_60,breach_count_30,reside_unregistered_count,multi_listing_host_count,commercial_host_share,entire_home_share,multi_listing_host_share,active_share,breach_rate_90,breach_rate_60,breach_rate_30,reside_unregistered_share,professional_management_share,tier_concentration_price,tier_sample_adequate,cluster_label,cluster_distance,risk_priority_score,subdivision,breach_rate,listings_impacted_90,listings_impacted_60,listings_impacted_30
london,Benhilton,subdivision,9,8,3,73.15,59.575,114.225,0.1041,51322.0,1,1,2,0,1,0.1111,0.3333,0.1111,0.8889,0.3333,0.3333,0.6667,0.0,0.0,tier_3,True,low_impact,1.43,27.42,Benhilton,0.3333,1,1,2
london,London Borough of Harrow,neighborhood,7,6,4,242.3,114.725,476.675,0.1092,122552.0,1,1,2,1,1,0.0,0.5714,0.1429,0.8571,0.25,0.25,0.5,0.25,0.25,tier_2,True,low_impact,0.9545,27.34,London Borough of Harrow,0.25,1,1,2
london,New Beckenham,subdivision,7,5,4,101.95,45.375,172.625,0.124,46079.0,1,2,2,0,0,0.0,0.5714,0.0,0.7143,0.25,0.5,0.5,0.0,0.0,tier_3,True,low_impact,1.142,27.34,New Beckenham,0.25,1,2,2
london,Hayes,subdivision,17,11,3,97.1,84.15,132.7,0.0777,81175.0,1,1,1,0,4,0.1176,0.1765,0.2353,0.6471,0.3333,0.3333,0.3333,0.0,0.0,tier_3,True,low_impact,1.7472,27.33,Hayes,0.3333,1,1,1
london,Chadwell Heath,subdivision,4,3,3,147.45,129.05,202.925,0.086,29134.0,1,1,1,0,1,0.0,0.75,0.25,0.75,0.3333,0.3333,0.3333,0.0,0.0,tier_3,False,low_impact,1.5636,27.13,Chadwell Heath,0.3333,1,1,1
london,Cyprus,subdivision,4,1,3,191.5,191.5,191.5,0.489,46524.0,1,1,1,2,0,0.0,0.75,0.0,0.25,0.3333,0.3333,0.3333,0.6667,0.0,tier_3,False,emerging,2.756,27.13,Cyprus,0.3333,1,1,1
london,London Borough of Hackney,neighborhood,4,2,3,199.25,161.425,223.825,0.1082,70452.0,1,1,2,0,2,0.0,0.75,0.5,0.5,0.3333,0.3333,0.6667,0.0,0.3333,tier_3,False,saturated,2.0343,27.13,London Borough of Hackney,0.3333,1,1,2
london,Marine Wharf,subdivision,4,3,3,181.5,155.95,184.3,0.0,27705.0,1,1,1,1,0,0.0,0.75,0.0,0.75,0.3333,0.3333,0.3333,0.3333,0.0,tier_3,False,low_impact,1.5853,27.13,Marine Wharf,0.3333,1,1,1
london,Widmore,subdivision,4,4,3,145.75,102.075,173.925,0.1945,47002.0,1,2,2,1,0,0.0,0.75,0.0,1.0,0.3333,0.6667,0.6667,0.3333,0.0,tier_3,False,emerging,1.5919,27.13,Widmore,0.3333,1,2,2
london,Dagenham,subdivision,10,9,5,138.65,48.0,231.15,0.0678,56985.0,1,1,1,1,3,0.0,0.5,0.3,0.9,0.2,0.2,0.2,0.2,0.0,tier_3,True,low_impact,0.921,27.03,Dagenham,0.2,1,1,1
london,London Borough of Barnet,neighborhood,7,4,5,96.0,82.4,229.2,0.0,25795.0,0,1,1,2,1,0.1429,0.7143,0.1429,0.5714,0.0,0.2,0.2,0.4,0.0,tier_3,True,low_impact,1.444,26.95,London Borough of Barnet,0.0,0,1,1
london,South Norwood,subdivision,13,9,6,65.85,43.275,105.35,0.1482,124756.0,1,2,3,2,0,0.0,0.4615,0.0,0.6923,0.1667,0.3333,0.5,0.3333,0.0,tier_3,True,low_impact,1.0923,26.71,South Norwood,0.1667,1,2,3
london,Sudbury,subdivision,19,10,6,83.6,57.4,271.0,0.1684,148696.0,1,1,3,1,10,0.1053,0.3158,0.5263,0.5263,0.1667,0.1667,0.5,0.1667,0.0,tier_3,True,saturated,1.8716,26.68,Sudbury,0.1667,1,1,3
london,West Norwood,subdivision,16,5,7,66.95,29.475,158.575,0.0084,27125.0,1,1,1,4,1,0.0,0.4375,0.0625,0.3125,0.1429,0.1429,0.1429,0.5714,0.0,tier_3,True,low_impact,0.5894,26.5,West Norwood,0.1429,1,1,1
london,Colney Hatch,subdivision,8,6,2,83.7,60.85,109.9,0.0237,22059.0,1,1,2,0,4,0.0,0.25,0.5,0.75,0.5,0.5,1.0,0.0,0.0,tier_3,True,low_impact,2.4615,26.48,Colney Hatch,0.5,1,1,2
london,North Woolwich,subdivision,5,3,3,115.5,69.45,161.25,0.064,42658.0,1,1,1,2,0,0.0,0.6,0.0,0.6,0.3333,0.3333,0.3333,0.6667,0.0,tier_3,True,low_impact,1.239,26.41,North Woolwich,0.3333,1,1,1
