city,geo_key,geo_level,str_density,active_listings,entire_home_count,median_nightly_price,p25_price,p75_price,avg_occupancy,total_revenue,breach_count_90,breach_count_60,breach_count_30,reside_unregistered_count,multi_listing_host_count,commercial_host_share,entire_home_share,multi_listing_host_share,active_share,breach_rate_90,breach_rate_60,breach_rate_30,reside_unregistered_share,professional_management_share
london,Finsbury,subdivision,29,16,21,160.3,130.8,232.6,0.1128,250810.0,2,5,5,11,11,0.1379,0.7241,0.3793,0.5517,0.0952,0.2381,0.2381,0.5238,0.0833
london,Finsbury Park,subdivision,39,30,21,148.7,96.1,204.0,0.1179,387869.0,7,9,11,7,4,0.0,0.5385,0.1026,0.7692,0.3333,0.4286,0.5238,0.3333,0.0909
london,Fitzrovia,subdivision,104,62,80,224.8,135.8,308.4,0.1797,1944908.0,18,24,26,41,63,0.1923,0.7692,0.6058,0.5962,0.225,0.3,0.325,0.5125,0.05
london,Forest Gate,subdivision,11,7,5,94.85,49.55,147.1,0.0,52395.0,1,1,1,3,0,0.0,0.4545,0.0,0.6364,0.2,0.2,0.2,0.6,0.0
london,Forest Hill,subdivision,15,11,11,117.8,75.8,135.6,0.1248,144655.0,3,4,4,3,0,0.0,0.7333,0.0,0.7333,0.2727,0.3636,0.3636,0.2727,0.0
london,Forestdale,subdivision,2,1,1,170.8,170.8,170.8,0.0,2379.0,0,0,0,1,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,
london,Friern Barnet,subdivision,10,4,4,82.1,30.75,140.3,0.0,9991.0,0,0,0,2,0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.5,0.0
london,Fulham,subdivision,139,81,113,235.65,148.775,364.7,0.0822,1810970.0,22,33,43,54,63,0.2158,0.8129,0.4532,0.5827,0.1947,0.292,0.3805,0.4779,0.1404
london,Furzedown,subdivision,50,29,22,118.3,63.0,233.8,0.0997,294290.0,2,3,5,10,11,0.06,0.44,0.22,0.58,0.0909,0.1364,0.2273,0.4545,0.1429
london,Gants Hill,subdivision,12,6,4,99.65,52.375,167.425,0.1346,151245.0,3,3,3,0,6,0.0,0.3333,0.5,0.5,0.75,0.75,0.75,0.0,0.0
london,Gascoigne Estate,subdivision,1,1,1,187.5,187.5,187.5,0.0,3883.0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
london,Gidea Park,subdivision,8,7,4,197.9,65.55,219.85,0.0666,115432.0,2,2,4,0,2,0.0,0.5,0.25,0.875,0.5,0.5,1.0,0.0,0.0
london,Glyndon,subdivision,1,0,0,,,,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
